UnitID,INST_Size_Value
177834,2
180203,1
222178,3
138558,2
451079,1
457271,1
108269,1
210508,1
384306,1
126182,2
188429,3
374024,1
142832,2
168528,2
133872,2
138600,2
200697,2
100654,3
483975,1
100724,2
102580,1
102669,1
188526,2
188535,1
188580,1
138716,3
385415,2
128498,2
168546,2
132842,1
241331,2
210571,2
175342,2
495192,1
237118,1
188641,2
156189,1
210669,2
200873,1
152798,1
217624,1
168591,2
168607,2
210775,2
238193,2
222628,2
490081,1
142887,1
219505,1
210809,3
485698,1
109086,1
108870,1
164447,2
142957,1
116846,1
188854,2
240736,2
131159,4
241128,1
241100,1
164465,2
100690,1
151865,1
150066,2
217633,2
138761,1
168740,2
222831,4
164492,2
109350,4
483018,1
458113,1
485908,1
245838,1
245892,1
245865,1
442392,1
245847,1
245883,1
237136,1
449922,1
432348,1
197869,5
168786,2
176600,1
126289,4
211088,2
105899,1
104151,5
483124,5
448886,-2
420574,-2
407009,-2
106306,1
488527,1
106458,4
106467,4
222877,1
201061,1
109651,2
156222,2
156213,2
201104,2
188942,1
164562,2
440651,1
201140,1
100812,2
138901,2
439446,1
241216,2
100858,5
100830,3
173045,2
482149,3
143084,2
219000,2
201177,1
143118,3
222983,2
222992,5
247825,1
219602,4
223001,1
442295,1
446048,2
231420,1
449931,1
176628,2
109785,3
164580,2
206817,1
128586,1
476601,1
245777,1
490513,1
495031,1
449658,1
168847,3
154688,2
109819,5
420705,1
201195,2
150136,5
189015,1
176664,1
219639,1
223117,1
444398,1
155070,1
189088,2
167792,1
189097,2
177719,1
132471,3
197911,2
235547,1
160977,2
380359,1
164632,2
223223,2
223232,4
476717,1
384254,1
164720,2
444413,1
175421,2
156286,2
234669,4
180814,4
238324,1
234696,2
197984,2
219709,3
238333,1
173124,2
217721,2
154712,2
145619,2
165884,1
197993,1
230816,1
164739,3
156295,2
461643,1
108861,1
164748,3
139144,2
485999,1
189273,1
183804,3
486196,1
488314,1
237181,1
154721,1
486284,1
173142,1
143233,1
154749,1
262022,1
173160,2
219718,2
150145,2
110060,1
486053,1
132602,2
139153,1
443702,1
196079,4
110097,3
100937,2
442949,1
200022,2
219046,2
143288,1
143297,1
183822,2
211158,3
175430,1
231554,1
237215,2
201371,1
217749,2
142090,1
142115,5
233356,1
189413,1
164872,1
164614,1
164924,4
164915,1
164988,5
161004,2
162007,3
201432,2
201441,4
143358,3
165015,3
262086,4
223506,2
139199,2
156356,1
198066,1
139205,1
152992,2
231581,2
165024,4
230047,2
142522,5
230038,5
450304,1
189501,2
132709,5
217156,3
180878,1
219790,2
217165,2
210492,1
211273,2
211291,2
153001,2
209409,1
150163,3
444103,1
198109,1
211352,2
215114,2
183910,2
494940,1
110361,4
110918,1
110370,2
478634,1
485263,1
474890,1
487649,1
110316,2
110404,2
111081,2
483586,-1
486488,1
110413,2
110422,5
110529,5
111188,1
110486,4
441937,3
110538,4
110547,4
110574,4
110556,5
110565,5
110583,5
110592,5
409698,3
110608,5
110617,5
110510,4
366711,4
110495,4
211361,3
496043,1
111391,1
150172,1
176789,1
169099,1
169080,2
165167,2
206914,2
198136,3
156365,4
189705,2
201548,2
162061,1
238430,2
241377,1
241386,1
363907,1
363916,1
173258,2
211431,2
211440,4
199971,1
461032,1
489937,1
433174,1
180106,2
238458,2
219806,2
238476,2
111638,1
439190,2
201645,4
230834,2
198215,2
475398,1
143659,1
189848,1
439367,1
211468,2
201654,2
158477,1
183974,2
241793,1
232618,1
106713,1
154855,1
176910,1
153108,2
128771,4
445267,2
176947,2
169248,4
201690,2
234827,4
240514,2
488004,1
189857,1
234845,2
156408,2
180948,2
141486,2
492069,1
230852,2
111948,3
111966,1
217688,2
444778,1
128780,2
211556,2
211583,2
211608,1
181145,1
437732,1
492607,1
144005,2
144014,1
133021,2
198303,2
494630,1
189981,1
219833,2
150215,1
231712,2
112127,1
201867,1
201928,3
217864,2
244233,1
406547,1
434539,1
234915,2
457697,1
217873,2
112251,2
488387,1
112260,2
124283,1
211644,2
138947,2
234933,3
201973,3
165334,2
153126,1
211024,1
180832,2
190044,2
139311,3
156417,1
169327,1
217882,5
202046,1
202073,1
202134,4
177038,1
217891,1
234951,2
218724,4
153144,2
217907,2
161086,2
182634,1
241720,1
190080,1
190099,2
169442,2
388520,1
132851,3
217819,4
139250,2
413617,1
243638,2
193399,2
167394,2
174747,2
181604,2
142559,3
182005,5
190558,4
160959,1
166124,2
376695,2
178697,2
493822,1
448752,1
448761,1
247834,5
126669,3
126678,2
127556,3
126711,3
126775,3
128106,3
126818,5
476975,4
234979,3
177065,3
217934,2
144281,3
112570,1
238573,1
217925,2
139348,1
190150,5
202170,2
139366,3
126942,3
459417,1
177083,1
237330,2
190248,2
173300,2
177092,1
150288,1
224004,2
169363,2
144351,3
112075,2
180984,2
208488,-2
173328,3
238616,3
493600,1
128902,2
241766,1
217961,2
165495,1
190372,1
162283,2
210331,2
153162,2
190415,5
170037,2
235024,1
177117,1
139393,1
177126,1
176770,1
169424,1
181002,3
475608,1
106810,1
174862,2
190503,2
177144,2
219949,2
190512,4
190549,4
190567,4
190576,3
190594,5
190600,4
190637,4
190646,3
190655,4
190664,4
190682,1
190691,3
165529,2
211893,1
113236,4
496070,-1
190716,2
190725,2
219082,2
219091,1
224226,2
224244,1
224615,5
224305,2
139463,2
492102,-1
182670,3
169479,3
198385,2
237358,1
194569,1
133386,4
165574,2
202514,1
130934,2
130907,4
211981,2
113537,1
175616,2
202523,2
126979,1
144740,5
150400,2
154156,2
210739,2
434900,1
443562,1
449135,1
469416,1
212009,2
200059,2
158802,2
105297,2
445869,1
153241,1
230171,4
181020,2
190761,2
113704,1
148496,2
113698,2
122117,1
155007,1
153250,2
449481,1
153269,2
184348,2
212054,5
177214,2
492801,2
198419,4
175227,2
212106,3
150455,1
198464,5
207041,2
139621,2
212115,3
220075,4
224527,2
144883,1
129215,2
132693,4
144892,3
156620,4
232043,2
169798,4
165644,1
187648,3
208646,2
212133,2
231970,2
235097,4
446233,1
133492,2
247162,1
177278,1
238661,2
212160,2
235103,3
243832,2
241836,1
494278,1
494287,1
492476,1
442806,2
133526,2
198507,2
212197,2
486080,1
144962,2
190983,1
198516,3
133553,3
104586,2
426314,4
165662,3
139630,1
165671,2
153302,1
232025,2
139658,4
155025,3
165699,2
124487,1
224712,1
409254,1
217998,1
241951,1
144971,1
177339,2
212443,1
385619,2
196680,5
460376,1
129242,3
184694,2
184603,3
237367,2
153320,1
443049,1
212452,-1
494597,-1
443058,1
196042,4
191126,3
101189,2
198543,3
114433,2
184612,2
169910,4
232089,1
114549,2
172440,1
165802,2
220181,1
165820,3
133711,2
133650,3
133669,5
133809,1
135160,2
433660,4
133881,3
480569,2
133951,5
133979,1
482936,2
134079,2
133508,4
133702,5
134097,5
177418,2
114716,4
191241,4
155061,4
127185,2
139719,2
165866,2
218061,2
160074,2
114734,1
205957,2
212577,2
150604,1
182795,2
202806,3
441982,1
220215,2
114813,2
155089,2
127200,4
156727,2
162584,2
114840,2
218070,2
481030,1
131450,2
224961,2
212601,2
198561,2
145275,1
456542,1
212656,2
208822,2
232186,5
131469,5
156745,2
131496,4
139861,3
447689,4
139700,3
139755,5
485111,3
139931,5
139764,2
139940,5
184773,2
212674,2
494551,1
237385,2
230889,1
202903,1
115083,2
130989,2
235316,3
202912,1
129154,2
165936,2
139968,2
165945,2
150668,1
162654,2
145336,2
170000,2
150677,2
461528,1
481058,1
481401,1
153366,2
115214,1
159009,3
170082,5
153375,2
183257,2
212771,1
235334,2
225070,2
182306,2
170091,1
235343,3
198598,1
218113,4
145372,1
153384,2
212805,2
240745,2
494560,-1
198613,2
134343,2
173647,2
212832,2
495314,1
225201,1
191515,2
173665,2
232256,1
166018,1
232265,2
177542,1
150756,2
225247,2
107044,2
177551,2
446640,2
129491,1
191533,2
166027,5
115409,1
155140,1
181127,1
111045,1
212911,2
141644,2
173683,1
166045,1
145497,1
203067,1
203085,2
191597,1
166054,1
107071,2
107080,2
170240,4
198677,1
101453,1
235422,1
200785,1
140340,1
101365,1
459851,1
459842,1
240392,2
174154,1
433536,1
386472,1
155177,1
198695,3
485403,1
235431,3
191621,1
170286,2
203128,2
191630,2
134510,1
367884,1
191649,4
232308,1
129534,1
150774,1
239743,-2
212984,2
115728,2
457086,1
162760,2
443076,1
170301,2
120537,2
457226,1
191676,1
225399,2
246345,1
225548,2
131520,4
164368,2
242121,1
115755,3
115773,1
101435,1
150941,2
449348,1
487524,2
225575,2
193405,2
142276,4
127273,1
434584,1
145691,2
145628,1
145725,3
145813,5
145646,2
213011,2
465812,4
495280,1
134608,4
151290,2
492962,2
151324,4
213020,4
151351,5
151388,2
151333,2
151360,2
151111,5
151342,2
151379,2
151801,2
488679,4
145886,1
462044,1
187745,1
489335,1
493363,-1
454838,1
455804,1
242626,2
242635,2
242644,2
242705,2
242680,2
242699,2
242653,3
242662,2
242617,2
242723,1
404222,1
140146,1
436614,1
448691,1
443128,1
191931,2
153603,5
153621,1
441238,1
191968,3
170444,2
175856,3
101480,3
134945,2
232423,5
225885,1
192040,1
107141,2
203368,2
116712,2
462354,1
162928,5
445708,2
439288,1
414823,1
460349,2
217235,3
198756,2
220473,2
132879,1
101541,1
146339,2
461139,1
213251,2
170532,2
155308,1
177746,1
179812,2
490601,1
155399,5
155414,1
185262,4
440031,1
183062,2
192165,1
135081,5
486840,5
177816,1
203447,2
203456,2
203526,2
203517,5
203492,2
203465,2
203474,2
203483,2
157100,1
157030,1
157058,2
157076,1
203535,2
461847,1
203544,1
169983,2
192192,2
213303,2
220516,2
213321,2
146427,2
213349,3
171881,1
213358,2
213367,2
117627,2
165264,2
260372,1
213376,2
213385,2
140234,1
117168,1
203580,1
407629,2
146481,2
146490,1
170639,2
235699,2
135188,2
238980,2
146533,1
226091,4
213400,2
213446,1
218229,2
247649,1
220598,2
207209,2
240620,2
226134,3
166391,2
117283,1
170675,2
239017,2
192323,2
220604,1
213507,2
220613,3
198808,1
213543,3
198835,2
166452,2
226231,2
209056,2
146612,3
142328,2
157207,1
232557,5
117520,1
117104,1
140252,2
218238,2
146667,1
146676,1
220631,2
177940,2
117557,1
213598,2
177968,3
157216,2
209065,2
437325,1
437316,1
219976,2
198862,1
213613,2
177986,2
117636,2
227182,5
192448,4
232566,2
166489,1
203748,4
153825,2
474863,2
159568,2
159391,5
159373,2
435000,1
159382,2
159416,3
159647,4
157298,1
203757,2
235750,2
117946,3
146719,4
163046,3
159656,2
226383,2
153834,2
135364,1
173896,1
146728,1
213668,2
132657,2
106342,1
173902,2
192624,1
146825,-2
238263,4
170806,2
182917,1
153861,2
161509,1
161022,1
161299,1
490753,1
203775,2
151777,2
155496,1
192703,2
192712,1
192749,2
213774,1
213783,2
446394,1
239071,1
192785,1
239080,2
151786,2
203845,2
192819,3
230940,-1
440411,-1
239105,4
198899,2
123943,1
237525,4
173452,1
220701,1
151810,1
232672,2
163295,2
164085,1
118541,1
192864,2
232706,2
220710,2
178059,4
213826,2
166674,2
167288,2
166683,4
166692,2
369002,1
173957,2
200226,2
146977,1
164270,2
147013,2
226587,2
159717,3
155511,1
166656,3
147031,1
490328,1
192925,2
239169,2
218335,2
220792,1
220808,-1
220871,1
118693,1
140447,3
193016,3
153977,1
203960,2
213987,2
198950,2
166850,3
193061,1
193052,1
193070,1
417752,1
213996,2
147129,1
203997,1
198969,2
190114,1
174020,3
127565,4
166869,2
135717,5
204006,2
204015,2
204024,4
169220,1
171100,5
169628,-2
171128,3
245953,2
151962,1
199458,1
481225,1
155520,2
482158,3
220996,1
220978,5
230959,2
119058,1
226806,2
181330,2
157377,2
178208,2
226833,3
143853,2
423643,2
480985,1
101675,2
214041,3
486901,2
147244,2
118888,1
175980,1
239309,1
239318,2
174127,1
174358,3
173920,4
200253,2
118912,4
193247,1
214069,2
211130,1
176053,2
176080,5
176035,2
176044,2
178244,2
178341,3
179566,5
178411,3
178369,2
178387,2
129774,1
175281,2
118976,4
193292,3
147341,1
185572,3
262165,1
180461,4
180179,2
180522,2
180416,2
185590,5
127954,1
199032,1
166911,1
147369,2
214148,1
214157,2
157386,3
140553,2
140562,1
127617,2
163453,3
154004,2
218399,1
214166,2
209241,1
204176,1
166939,2
219198,2
239390,2
154013,2
204200,2
193353,2
119173,2
163462,2
204194,2
214175,2
209287,1
157401,3
204264,2
127653,1
239424,1
147536,3
119605,4
147590,1
209296,1
187596,2
119678,2
127714,1
178518,1
193584,2
181376,-1
181297,2
181446,2
163532,1
214272,2
441900,3
185758,1
262129,1
182980,2
167093,1
217305,2
167215,1
208725,1
185129,3
185828,4
187897,2
187967,2
188030,4
159948,2
440396,1
366368,1
193751,1
418126,1
194073,1
439783,1
194091,3
193821,2
193830,2
194116,1
193894,1
193900,5
218414,2
155335,2
193973,2
159966,3
167260,2
232937,3
461795,1
199102,4
199157,3
199193,5
199209,2
147660,2
204422,2
174437,2
200332,4
136145,2
218441,2
147679,2
236072,3
444130,4
204477,1
147776,3
439817,1
207263,3
167358,5
482705,4
105330,5
147697,1
147703,4
157447,4
240790,2
171456,3
188058,2
219259,2
230913,2
239512,1
217606,1
443030,1
136233,3
380377,1
178624,3
142461,2
236133,2
487603,2
154101,2
174507,2
171483,2
207306,2
120166,1
160038,4
147767,5
171492,2
230995,2
204468,2
120184,1
163578,2
136215,5
200086,1
194161,2
174525,1
495059,1
152099,2
171571,4
101912,2
204501,2
227289,1
120254,2
227304,3
219277,2
140696,2
201964,2
204617,2
204635,2
204671,1
204796,5
204680,2
204699,2
204705,2
204820,2
204802,2
204848,2
204857,5
204839,2
204866,2
237640,1
204909,2
194189,1
207403,2
207324,2
207458,2
207351,2
207315,2
207564,2
207388,5
207397,2
206835,1
232982,5
171599,2
147828,2
236188,3
461120,1
207582,2
369659,1
209490,2
209506,3
209542,5
440828,2
120403,2
155636,1
428259,1
454582,1
155627,1
105367,2
464226,1
204936,2
107512,2
227331,2
178679,1
194310,4
407610,1
439862,1
236230,2
209603,1
455406,1
120768,2
457484,1
120795,1
120838,1
120865,1
209612,2
140720,1
136330,2
136358,5
154174,2
120698,2
121628,1
178721,4
243823,2
136400,3
495916,1
451927,1
227429,1
194392,1
204990,1
214883,2
236258,2
214971,1
215053,1
442356,2
366252,2
214616,-2
212018,-2
214777,-2
214801,-2
214689,-2
214698,-2
214704,-2
214731,-2
214740,-2
214591,-2
214759,-2
214607,-2
214786,-2
214713,-2
214768,-2
214670,-2
214795,-2
214625,-2
214810,-2
214652,-2
214634,-2
214643,-2
214829,-2
479956,-2
136473,3
219842,1
121150,3
181534,2
199306,2
215123,2
107600,1
189282,1
414966,1
381459,1
140818,2
235237,3
127820,4
440794,1
167455,1
155681,3
215415,2
215424,1
121257,1
183080,2
121309,2
215442,2
138868,2
136516,3
456481,1
456490,1
121345,2
241395,1
243586,1
241410,3
205027,1
131405,1
455813,1
167464,1
209807,5
237701,2
227526,3
194578,2
218539,2
490045,1
105589,1
219295,1
486433,1
186122,1
186131,3
148016,1
455770,1
217402,2
127884,3
151102,3
489779,5
490805,3
243780,5
199412,2
148131,2
130226,3
384421,1
194657,1
194693,1
194666,1
186186,1
194736,1
405854,1
484871,1
205124,1
194718,1
194763,1
233277,4
231837,-2
186201,3
207157,1
233301,1
233295,2
178891,2
215619,1
127909,3
209922,2
215628,-1
490230,1
231651,4
167598,2
127918,3
140872,2
492209,1
475033,2
223463,1
460783,1
412599,1
366535,1
445203,1
451866,1
129428,1
194824,3
236382,2
149763,1
217420,3
217493,2
221351,2
227757,3
441104,1
186283,2
136774,2
121886,4
239628,1
233408,1
183211,2
233426,2
215655,2
148335,-2
194958,2
195003,4
170967,2
195049,1
148405,2
179043,2
180595,2
217518,2
409616,1
207661,2
136950,2
148487,2
145558,2
152318,2
445735,2
215691,1
184782,4
148511,2
195128,2
176318,1
186371,3
186380,5
186399,4
172033,1
239637,1
130253,3
172051,3
154235,2
183239,2
149028,1
148876,1
199582,2
216047,1
174783,4
227845,2
186618,2
148575,1
215743,2
195720,2
167677,1
137281,3
174792,2
160409,1
161518,2
215770,3
137032,3
179256,1
179159,4
179450,-2
236452,2
152390,2
123554,2
174817,3
152381,2
152451,1
231059,2
239716,2
179317,1
186432,2
215798,2
136701,1
215813,1
195580,1
148627,2
199607,1
167729,3
163851,3
180647,1
214564,2
217536,2
227881,5
102049,3
122296,2
112084,1
122375,5
122409,5
122454,1
122506,1
122597,5
227979,5
122649,1
122755,5
430670,1
481535,1
121619,5
122931,3
137096,4
122977,5
195304,2
140951,4
140960,2
123095,1
143048,2
172200,3
228042,2
123165,1
236513,3
236577,2
236595,3
102058,-1
243498,1
137209,4
232885,1
186584,3
215947,2
195438,1
123280,1
123299,3
199643,2
205443,2
233541,2
237792,2
461485,1
218751,1
480499,1
216010,3
140988,2
195474,2
172264,2
182458,1
461759,1
167783,3
154350,2
123457,1
205470,4
219374,1
219240,1
231068,1
200466,1
236638,2
195526,2
216038,3
167835,2
230597,3
399911,1
123563,3
123572,3
123633,1
218733,2
219347,2
219356,4
366003,1
137315,2
482699,2
236504,3
409315,5
228194,1
417734,1
179557,4
176336,1
199759,2
233602,1
160612,4
207847,3
137564,3
221661,2
107983,2
123952,1
117575,1
117672,2
221670,1
130493,3
149222,4
149231,4
228246,4
206862,2
183026,5
210146,3
160621,3
160630,2
440916,1
230603,4
233611,2
217776,2
179326,2
420246,1
175078,3
104188,1
228468,1
228325,2
494603,2
228486,1
207856,1
155900,2
188207,1
123970,1
207865,2
228343,2
157757,2
218821,2
141060,2
148982,1
236692,3
236708,2
172334,2
102234,2
167899,2
475273,1
195155,1
195164,2
175005,2
195173,2
123855,-1
195216,2
154262,1
174844,2
137078,5
199698,1
137272,1
245652,1
163976,1
148593,1
195809,5
195562,-2
195544,3
163912,2
228149,2
195243,2
137476,3
243744,4
123916,1
135391,3
196176,3
228431,4
179548,1
155937,1
231095,1
137546,2
186867,3
460899,1
230621,1
438151,1
474906,1
230630,1
446677,1
164173,2
102270,1
186876,3
366340,1
167996,2
196097,5
168005,3
228501,2
447953,1
181543,1
196060,4
196158,2
196219,2
196121,3
196130,3
196167,2
196237,3
196194,3
196246,3
196200,2
196033,2
196103,2
196228,1
196006,2
196015,2
196024,2
196149,3
196255,2
196264,4
196291,2
196051,2
196185,3
196112,2
216278,2
216287,2
233718,1
196413,5
155973,1
236753,3
102298,2
137759,4
137777,1
186900,1
196440,1
451404,1
196431,1
216311,1
228529,4
152530,2
196468,2
488800,1
149329,1
216339,5
221838,3
221847,4
221731,2
226152,3
228723,5
224554,4
224147,4
228705,3
483036,2
459949,3
224545,2
228866,1
228875,4
228884,1
228981,2
229063,3
228459,5
229115,5
229337,3
492689,1
229160,2
229179,4
132408,1
131283,3
455433,1
143978,2
455664,2
491190,1
459745,1
487153,1
201821,2
142294,2
187134,3
195234,2
174899,2
133960,1
206589,2
492087,1
235167,2
191320,1
146241,-2
192110,1
454184,1
439701,1
117751,2
167057,1
193654,3
495767,5
475228,1
125037,1
104665,1
441131,1
157748,2
100751,5
475237,-1
202763,2
180489,3
180692,2
137847,3
487010,2
221740,4
221759,5
221768,3
228769,5
228778,5
228787,5
228796,5
229027,5
228802,3
229300,3
228644,2
416801,1
228653,2
229018,3
227368,5
215105,2
221519,2
233897,2
138354,4
126012,1
216348,1
216357,1
124292,1
161563,2
187046,4
126049,1
216366,3
183275,1
157809,2
141167,2
206048,2
141185,2
196583,1
176406,1
196592,4
459736,2
459824,2
459727,2
164076,5
445054,1
157818,1
221892,2
206154,1
152567,2
414878,2
137953,1
200484,1
149505,2
130590,2
137962,1
146755,1
216463,1
135610,1
149514,2
123448,1
229267,2
131876,2
196653,2
102368,4
182500,4
141237,2
178615,2
168148,4
160755,4
200527,1
221953,2
102377,2
229355,4
246789,1
491525,1
157863,2
181738,1
196866,2
206279,1
233842,1
196884,1
221971,2
213631,1
128328,2
130624,2
197027,2
197036,2
164155,2
102395,1
197018,2
206288,1
175139,1
200554,1
161572,2
376385,1
241191,2
243346,3
241739,3
243601,4
483595,2
241225,2
243568,1
243443,2
441690,1
243577,2
241614,1
196088,5
200800,4
100663,5
100706,3
102553,4
102614,3
102632,2
104179,5
487296,1
106397,5
106245,3
106485,2
106412,2
106263,2
493725,1
108092,3
161873,2
128744,2
110635,5
110644,5
110398,2
110653,5
110662,5
445188,3
110671,5
110680,5
110699,2
110705,5
110714,4
106704,4
132903,5
176965,3
206941,4
237312,2
144050,4
201955,3
201946,3
201885,5
126614,5
126580,4
126562,5
129020,5
436827,1
463056,2
436836,2
436818,1
224323,2
202480,4
130943,5
127060,4
169716,2
153278,2
150534,2
134130,5
484473,2
457402,1
139959,5
240754,2
129525,3
141565,2
141574,4
141839,2
141981,2
179265,1
160065,2
225511,5
225414,3
225432,4
225502,2
142285,4
145600,5
148654,2
145637,5
151263,3
153658,5
200156,2
155317,5
157085,5
117140,3
160658,4
159993,3
157289,5
232609,2
161253,4
161217,2
161226,2
161235,2
161244,1
161341,2
200217,2
226471,2
232681,2
163338,2
163204,5
163259,3
163268,4
163286,5
166708,2
166629,5
166638,4
167987,3
166513,4
220862,5
135726,4
170976,5
171137,3
171146,3
174075,2
174233,4
174251,2
456959,1
174066,5
176017,5
178396,5
178402,4
178420,4
101693,2
101709,2
199069,2
204185,2
181215,3
181394,4
181428,2
181464,5
182281,5
182290,5
161457,3
183071,1
182829,1
183044,4
129941,3
187985,5
159939,3
101879,3
199111,2
199120,5
199139,5
199148,4
199281,3
199184,2
199218,4
200280,4
136172,4
482680,4
227216,5
484905,2
228909,2
127741,4
154095,3
204486,2
174491,2
152080,4
207342,2
207500,5
209551,5
215062,5
157535,2
215266,2
215275,2
215284,2
215293,5
209825,2
180258,2
243106,2
243115,2
243133,2
243142,2
243151,2
243179,2
243197,4
243203,2
243212,2
243221,4
243188,1
236328,2
121691,2
122603,-2
217484,4
233374,2
205203,2
195030,4
152336,2
130314,2
488785,1
155812,2
148885,1
122436,3
122612,4
207722,1
215929,2
219383,2
102094,4
218645,2
218654,2
218663,5
218742,3
219471,3
137351,5
451671,-2
448840,-2
123961,5
151306,4
161554,3
176372,4
148584,2
227863,2
174914,3
485537,1
228635,2
156541,4
131399,2
363721,1
225627,3
107558,1
120883,3
488846,5
215132,2
188182,1
243665,2
449870,1
206084,4
207971,2
230764,5
216542,1
231174,4
234076,5
377555,3
236948,5
377564,3
101587,3
141334,4
210438,2
240268,4
240277,3
240329,4
240444,5
240453,5
491288,1
240365,4
240374,2
491297,1
240462,3
240471,3
240480,3
240417,3
240426,2
240189,4
240727,4
154493,2
440004,1
196307,2
494685,1
455099,1
216524,2
206349,2
446604,2
230728,5
230737,5
197045,2
141264,4
138187,5
200572,2
152600,2
221999,4
149639,1
123651,2
197133,2
188340,2
482228,1
455992,1
231147,1
231165,2
197142,1
216597,4
152637,4
449834,1
234030,5
234085,2
233921,5
234155,2
234164,2
490106,1
234137,1
234173,2
449764,1
240107,2
218919,1
446613,1
152673,1
197197,2
199847,3
236887,2
236896,2
172608,2
206437,2
210304,1
480198,1
138275,1
199865,1
154527,2
154536,1
156082,3
216667,2
162210,1
234207,2
164216,2
236939,5
179867,4
392840,-2
229780,2
181783,2
172644,5
216694,2
229799,3
197221,1
138293,1
230782,5
179894,3
190424,2
220206,1
168218,2
197230,1
236975,2
168227,2
176451,1
131098,1
131973,1
141325,1
130697,2
216764,4
237932,2
125471,4
229814,4
237880,1
237899,2
238032,5
237686,2
237905,1
237950,2
237969,2
200004,4
128391,2
130776,3
433387,5
149772,3
157951,4
172699,4
490373,1
172477,1
182564,2
168254,2
188304,2
210429,2
210368,1
172705,1
112525,2
237011,4
168263,3
179946,1
230807,2
216807,2
216816,1
125718,1
125727,2
237039,2
149781,2
168281,2
238078,1
237057,2
125763,2
237066,2
475200,1
156125,4
216852,3
206491,1
229887,1
216931,2
210401,2
231624,3
176479,3
166717,1
122728,2
179955,1
187444,3
199272,1
154590,2
179964,2
107877,1
168342,2
443340,1
206507,2
131113,4
217013,2
206516,1
199962,2
175272,3
199999,3
218964,3
240338,2
240213,1
206525,2
218973,2
491631,1
442064,1
488907,1
125897,2
168421,3
168430,3
401223,1
486460,1
206613,2
206604,4
206622,3
160904,2
237109,2
130794,4
180717,1
490319,1
491622,1
434937,1
420325,1
197647,1
493716,1
491914,1
375230,1
491640,1
481410,1
491710,1
247773,1
493707,1
488350,1
491613,1
476692,1
197601,1
491057,1
190752,1
455257,1
197674,1
493594,1
431983,1
126076,1
490504,1
486017,1
490276,1
197692,1
441609,1
486026,1
451398,1
197708,3
494737,1
481438,1
487746,1
363712,1
451370,1
491765,1
488101,1
405058,1
493664,1
217040,1
197735,1
197744,1
401250,1
181853,1
217059,2
141361,2
206695,4
204255,2
458575,1
